dir,name,outcome,reps,ns_per_iter
suite,test_size4,pass,2563,41748.0
suite,test_sort,pass,4392,24817.9
suite,test_source,pass,384,260416.7
suite,test_sparse1,pass,110,945454.5
suite,test_sparse10,pass,490,212244.9
suite,test_sparse100,pass,110,936363.6
suite,test_sparse101,pass,121,900826.4
suite,test_sparse102,pass,60,1733333.3
suite,test_sparse103,pass,60,1700000.0
suite,test_sparse104,pass,66,1666666.7
suite,test_sparse105,pass,60,1733333.3
suite,test_sparse106,pass,66,1575757.6
suite,test_sparse107,pass,70,1585714.3
suite,test_sparse108,pass,63,1650793.7
suite,test_sparse109,pass,66,1636363.6
suite,test_sparse11,pass,539,198515.8
suite,test_sparse110,pass,60,1683333.3
suite,test_sparse111,pass,63,1650793.7
suite,test_sparse112,pass,63,1634920.6
suite,test_sparse113,pass,60,1766666.7
suite,test_sparse114,pass,132,803030.3
suite,test_sparse115,pass,132,795454.5
suite,test_sparse116,pass,580,177586.2
suite,test_sparse117,pass,1,927000000.0
suite,test_sparse12,pass,539,200371.1
suite,test_sparse13,pass,380,271052.6
suite,test_sparse14,pass,380,271052.6
suite,test_sparse15,pass,710,150704.2
suite,test_sparse16,pass,704,156250.0
suite,test_sparse17,pass,704,154829.5
suite,test_sparse18,pass,580,186206.9
suite,test_sparse19,pass,583,186964.0
suite,test_sparse2,pass,506,215415.0
suite,test_sparse20,pass,638,163009.4
suite,test_sparse21,pass,539,204081.6
suite,test_sparse22,pass,1,189000000.0
suite,test_sparse23,pass,1,192000000.0
suite,test_sparse24,pass,418,255980.9
suite,test_sparse25,pass,1,238000000.0
suite,test_sparse26,pass,1,239000000.0
suite,test_sparse27,pass,638,166144.2
suite,test_sparse28,pass,583,183533.4
suite,test_sparse29,pass,530,196226.4
suite,test_sparse3,pass,473,228329.8
suite,test_sparse30,pass,473,221987.3
suite,test_sparse31,pass,530,192452.8
suite,test_sparse32,pass,539,202226.3
suite,test_sparse33,pass,400,262500.0
suite,test_sparse34,pass,580,179310.3
suite,test_sparse35,pass,180,561111.1
suite,test_sparse36,pass,473,232558.1
suite,test_sparse37,pass,506,211462.5
suite,test_sparse38,pass,320,318750.0
suite,test_sparse39,pass,506,209486.2
suite,test_sparse4,pass,460,221739.1
suite,test_sparse40,pass,320,321875.0
suite,test_sparse41,pass,490,208163.3
suite,test_sparse42,pass,324,317901.2
suite,test_sparse43,pass,638,172413.8
suite,test_sparse44,pass,473,232558.1
suite,test_sparse45,error,0,0.0
suite,test_sparse5,pass,360,280555.6
suite,test_sparse50,pass,1,146000000.0
suite,test_sparse51,pass,1,609000000.0
suite,test_sparse52,pass,1,149000000.0
suite,test_sparse53,pass,1,560000000.0
suite,test_sparse54,pass,1,102000000.0
suite,test_sparse55,pass,1,2700000000.0
suite,test_sparse56,pass,9,11333333.3
suite,test_sparse57,pass,1,202000000.0
suite,test_sparse58,pass,1,580000000.0
suite,test_sparse59,pass,1,13285000000.0
suite,test_sparse6,pass,396,277777.8
suite,test_sparse60,pass,1,9486000000.0
suite,test_sparse61,pass,1,14369000000.0
suite,test_sparse62,pass,1,2250000000.0
suite,test_sparse63,pass,1,139000000.0
suite,test_sparse64,pass,1,233000000.0
suite,test_sparse65,pass,1,165000000.0
suite,test_sparse66,pass,1,221000000.0
suite,test_sparse67,pass,1,130000000.0
suite,test_sparse68,pass,1,193000000.0
suite,test_sparse69,pass,44,2431818.2
suite,test_sparse7,pass,638,169279.0
suite,test_sparse70,pass,1,222000000.0
suite,test_sparse71,pass,1,172000000.0
suite,test_sparse72,pass,1,192000000.0
suite,test_sparse73,pass,1,224000000.0
suite,test_sparse74,pass,1,133000000.0
suite,test_sparse75,pass,1,131000000.0
suite,test_sparse76,pass,1,222000000.0
suite,test_sparse77,pass,1,210000000.0
suite,test_sparse78,pass,1,477000000.0
suite,test_sparse79,pass,1,480000000.0
suite,test_sparse8,pass,490,216326.5
suite,test_sparse80,pass,1,19353000000.0
suite,test_sparse81,pass,460,228260.9
suite,test_sparse82,error,0,0.0
suite,test_sparse83,pass,430,237209.3
suite,test_sparse84,pass,121,892562.0
suite,test_sparse85,pass,121,884297.5
suite,test_sparse86,pass,121,892562.0
suite,test_sparse87,pass,110,918181.8
suite,test_sparse88,pass,121,892562.0
suite,test_sparse89,pass,121,876033.1
suite,test_sparse9,pass,490,214285.7
suite,test_sparse90,pass,121,900826.4
suite,test_sparse91,pass,121,900826.4
suite,test_sparse92,pass,121,909090.9
suite,test_sparse93,pass,110,945454.5
suite,test_sparse94,pass,121,900826.4
suite,test_sparse95,pass,121,900826.4
suite,test_sparse96,pass,121,876033.1
suite,test_sparse97,pass,121,867768.6
suite,test_sparse98,pass,110,936363.6
suite,test_sparse99,pass,121,909090.9
suite,test_sscanf1,pass,1280,87500.0
suite,test_strcmp1,pass,1408,76704.5
suite,test_strcmp2,pass,1408,76704.5
suite,test_struct1,pass,1562,68501.9
suite,test_struct2,pass,1760,61363.6
suite,test_struct3,pass,1536,65104.2
suite,test_struct4,pass,276,380434.8
suite,test_struct5,pass,1092,98901.1
suite,test_struct6,pass,1152,89409.7
suite,test_struct7,pass,2130,47887.3
suite,test_struct8,pass,380,271052.6
suite,test_struct9,pass,963,105919.0
suite,test_subset1,pass,1001,103896.1
suite,test_subset10,pass,1070,96261.7
suite,test_subset11,pass,1070,101869.2
suite,test_subset12,pass,1001,101898.1
suite,test_subset13,pass,1070,94392.5
suite,test_subset14,pass,880,117045.5
suite,test_subset15,pass,880,121590.9
suite,test_subset16,pass,2343,46948.4
suite,test_subset17,pass,4270,24121.8
suite,test_subset18,pass,3200,33750.0
suite,test_subset19,pass,473,224101.5
suite,test_subset2,pass,2130,48356.8
suite,test_subset20,pass,800,128750.0
suite,test_subset21,pass,2343,43533.9
suite,test_subset22,pass,2816,39062.5
suite,test_subset3,pass,1001,100899.1
suite,test_subset4,pass,1092,98901.1
suite,test_subset5,pass,704,153409.1
suite,test_subset6,pass,1001,103896.1
suite,test_subset7,pass,638,163009.4
suite,test_subset8,pass,583,178387.7
suite,test_subset9,pass,1070,98130.8
suite,test_svd1,pass,880,120454.5
suite,test_svd10,pass,1,1689000000.0
suite,test_svd11,pass,1,2989000000.0
suite,test_svd12,pass,1,7347000000.0
suite,test_svd2,pass,852,123239.4
suite,test_svd3,pass,852,123239.4
suite,test_svd4,pass,880,123863.6
suite,test_svd5,pass,1,738000000.0
suite,test_svd6,pass,1,1818000000.0
suite,test_svd7,pass,1,783000000.0
suite,test_svd8,pass,1,1935000000.0
suite,test_svd9,pass,1,693000000.0
suite,test_switch1,pass,4026,25335.3
suite,test_switch2,pass,4270,25058.5
suite,test_switch3,pass,2840,35563.4
suite,test_switch4,pass,3124,33930.9
suite,test_switch5,pass,3660,29508.2
suite,test_switch6,pass,3200,33750.0
suite,test_switch7,pass,3200,32187.5
suite,test_switch8,pass,4392,24590.2
suite,test_test1,pass,1408,73863.6
suite,test_test2,pass,1350,75555.6
suite,test_test3,pass,1280,83593.7
suite,test_test4,pass,1284,84112.1
suite,test_test5,pass,30,3433333.3
suite,test_typeof1,pass,1177,86661.0
suite,test_typeof2,pass,1280,84375.0
suite,test_typeof3,pass,1284,84112.1
suite,test_typeof4,pass,1177,87510.6
