dir,name,outcome,reps,ns_per_iter
suite,test_eval3,pass,51208,1952.9
suite,test_evalin1,pass,28944,3455.0
suite,test_evalin2,pass,30950,3231.1
suite,test_exist1,pass,59386,1683.9
suite,test_exist2,pass,182495,548.0
suite,test_fcall1,pass,44290,2257.9
suite,test_fcall2,pass,55431,1804.1
suite,test_feval1,pass,114569,872.8
suite,test_fieldnames1,pass,48307,2070.1
suite,test_file1,fail,2960,33791.3
suite,test_fitfun1,pass,21300,4695.1
suite,test_fitfun2,pass,14,7399658.4
suite,test_fitfun3,pass,12164,8221.1
suite,test_for1,pass,28484,3510.8
suite,test_for2,pass,16868,5928.7
suite,test_for3,pass,29998,3333.6
suite,test_for4,pass,26160,3822.7
suite,test_gausfit1,pass,31,3250953.9
suite,test_getfield1,pass,52026,1922.1
suite,test_getfield2,pass,29672,3370.3
suite,test_global1,pass,8760,11416.2
suite,test_if1,pass,200000,457.0
suite,test_if2,pass,200000,471.2
suite,test_if3,pass,164861,606.6
suite,test_if4,pass,131414,761.0
suite,test_image1,pass,86015,1162.6
suite,test_imwrite_imread,pass,342,292592.1
suite,test_int2bin1,pass,23805,4200.9
suite,test_iscellstr1,pass,125660,795.8
suite,test_iscellstr2,pass,132613,754.1
suite,test_isfield1,pass,59260,1687.5
suite,test_isfloat1,pass,159175,628.2
suite,test_isinteger1,pass,129197,774.0
suite,test_isset1,pass,109693,911.6
suite,test_jit,pass,8089,12362.9
suite,test_lasterr1,pass,84209,1187.5
suite,test_load1,pass,2506,39915.7
suite,test_lu1,pass,384,260453.0
suite,test_lu2,pass,366,273853.1
suite,test_matcat1,pass,24153,4140.3
suite,test_matcat2,pass,10735,9315.4
suite,test_matcat3,pass,9231,10833.7
suite,test_matcat4,pass,36226,2760.5
suite,test_matcat5,pass,35581,2810.6
suite,test_matcat6,pass,35312,2831.9
suite,test_matcat7,pass,41774,2393.8
suite,test_matcat8,pass,129260,773.6
suite,test_nargin1,pass,83624,1195.8
suite,test_nargin2,pass,82873,1206.7
suite,test_num2str1,pass,45057,2219.5
suite,test_ones1,pass,73129,1367.5
suite,test_parallel_fft1,error,0,0.0
suite,test_permute1,pass,8009,12487.0
suite,test_permute2,pass,1492,67063.0
suite,test_persistent1,pass,6852,14595.0
suite,test_persistent2,pass,94074,1063.0
suite,test_plot1,pass,76023,1315.4
suite,test_power1,pass,4347,23007.0
suite,test_qr1,pass,5961,16778.1
suite,test_qr10,pass,1,577471774.0
suite,test_qr11,pass,1,210800026.0
suite,test_qr12,pass,1,162646471.0
suite,test_qr2,pass,5603,17849.1
suite,test_qr3,pass,4794,20860.0
suite,test_qr4,pass,4962,20156.3
suite,test_qr5,pass,5270,18978.1
suite,test_qr6,pass,5222,19153.3
suite,test_qr7,pass,4458,22434.4
suite,test_qr8,pass,4547,21992.7
suite,test_qr9,pass,1,458958261.0
suite,test_range1,pass,41164,2429.3
suite,test_range2,pass,35996,2778.1
suite,test_range3,pass,39592,2525.8
suite,test_range4,pass,40706,2456.7
suite,test_range5,pass,38013,2630.7
suite,test_range6,pass,33727,2965.0
suite,test_range7,pass,35617,2807.6
suite,test_range8,pass,33119,3019.4
suite,test_range9,pass,189685,527.2
suite,test_repmat1,pass,30655,3262.1
suite,test_repmat2,pass,28302,3533.4
suite,test_repmat3,pass,21434,4665.6
suite,test_reshape1,pass,28842,3467.3
suite,test_reshape2,pass,35455,2820.5
suite,test_ret,pass,200000,201.2
suite,test_save1,pass,1397,71583.7
suite,test_seed1,pass,57736,1732.0
suite,test_size1,pass,24019,4163.4
suite,test_size2,pass,24177,4136.2
suite,test_size3,pass,42210,2369.2
suite,test_size4,pass,51432,1944.3
suite,test_sort,pass,200000,440.8
suite,test_source,pass,10269,9738.8
suite,test_sparse1,pass,1714,58352.3
suite,test_sparse10,pass,5425,18434.7
suite,test_sparse100,pass,1495,66932.4
suite,test_sparse101,pass,1480,67592.6
suite,test_sparse102,pass,1053,95016.0
suite,test_sparse103,pass,1056,94777.7
suite,test_sparse104,pass,1064,94044.0
suite,test_sparse105,pass,1074,93138.9
suite,test_sparse106,pass,1064,93996.1
suite,test_sparse107,pass,1067,93781.3
suite,test_sparse108,pass,1064,93987.7
suite,test_sparse109,pass,1065,93943.5
suite,test_sparse11,pass,5602,17852.6
suite,test_sparse110,pass,1066,93826.2
suite,test_sparse111,pass,1060,94386.3
suite,test_sparse112,pass,1041,96106.5
suite,test_sparse113,pass,1050,95314.8
suite,test_sparse114,pass,1375,72768.2
suite,test_sparse115,pass,1390,71978.5
suite,test_sparse116,pass,8567,11673.0
suite,test_sparse117,pass,1,111289453.0
suite,test_sparse12,pass,5747,17400.9
suite,test_sparse13,pass,3167,31576.6
suite,test_sparse14,pass,3225,31016.2
suite,test_sparse15,pass,13284,7528.0
suite,test_sparse16,pass,12374,8081.5
suite,test_sparse17,pass,12925,7737.3
suite,test_sparse18,pass,7817,12793.2
suite,test_sparse19,pass,8103,12342.4
suite,test_sparse2,pass,7271,13753.7
suite,test_sparse20,pass,9704,10305.4
suite,test_sparse21,pass,6081,16446.8
suite,test_sparse22,pass,8,14143132.4
suite,test_sparse23,pass,3,42610289.3
suite,test_sparse24,pass,2640,37880.0
suite,test_sparse25,pass,1,128185871.0
suite,test_sparse26,pass,1,127901059.0
suite,test_sparse27,pass,8191,12208.6
suite,test_sparse28,pass,7394,13526.3
suite,test_sparse29,pass,7581,13191.4
suite,test_sparse3,pass,6764,14784.2
suite,test_sparse30,pass,5318,18806.7
suite,test_sparse31,pass,6736,14847.7
suite,test_sparse32,pass,6869,14558.7
suite,test_sparse33,pass,4676,21388.1
suite,test_sparse34,pass,9108,10980.2
suite,test_sparse35,pass,3042,32878.6
suite,test_sparse36,pass,5482,18243.8
suite,test_sparse37,pass,6038,16562.6
suite,test_sparse38,pass,3421,29231.3
suite,test_sparse39,pass,6084,16438.7
suite,test_sparse4,pass,6863,14572.4
suite,test_sparse40,pass,3415,29286.6
suite,test_sparse41,pass,5991,16693.4
suite,test_sparse42,pass,3426,29189.2
suite,test_sparse43,pass,8174,12235.0
suite,test_sparse44,pass,5336,18742.6
suite,test_sparse45,pass,626,159864.7
suite,test_sparse5,pass,5049,19808.9
suite,test_sparse50,pass,13,7827511.4
suite,test_sparse51,pass,7,14599173.3
suite,test_sparse52,pass,16,6668064.0
suite,test_sparse53,pass,8,12703341.6
suite,test_sparse54,pass,15,6887580.2
suite,test_sparse55,pass,8,12571829.8
suite,test_sparse56,pass,20,5194941.8
suite,test_sparse57,pass,1,145607468.0
suite,test_sparse58,pass,1,423296950.0
suite,test_sparse59,pass,1,249851407.0
suite,test_sparse6,pass,4684,21349.8
suite,test_sparse60,pass,1,245873170.0
suite,test_sparse61,pass,1,261994349.0
suite,test_sparse62,pass,1,266407288.0
suite,test_sparse63,pass,2,62266951.0
suite,test_sparse64,pass,2,73928944.5
suite,test_sparse65,pass,1,102858503.0
suite,test_sparse66,pass,1,122965945.0
suite,test_sparse67,pass,2,61058184.0
suite,test_sparse68,pass,2,83748448.0
suite,test_sparse69,pass,13,7747579.8
suite,test_sparse7,pass,9033,11070.7
suite,test_sparse70,pass,1,112720276.0
suite,test_sparse71,pass,1,111680264.0
suite,test_sparse72,pass,1,112544307.0
suite,test_sparse73,pass,1,126937840.0
suite,test_sparse74,pass,2,63200689.5
suite,test_sparse75,pass,2,63456327.0
