dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
array,test_resize8,pass,pass,84891.0,4250.9,19.970123973746738
array,test_sort,pass,pass,23887.6,446.5,53.499664053751395
array,test_sparse116,pass,pass,168750.0,11804.1,14.29588024499962
array,test_sparse20,pass,pass,160937.5,10597.8,15.185934816660062
array,test_sparse21,pass,pass,198113.2,16007.3,12.376428254608836
array,test_sparse56,pass,pass,11222222.2,5184725.7,2.164477515175007
array,test_sparse63,pass,pass,140000000.0,71658014.5,1.9537242411314648
array,test_sparse64,pass,pass,234000000.0,83515984.5,2.801858846554099
array,test_sparse65,pass,pass,169000000.0,105764499.0,1.5978896661723894
array,test_sparse66,pass,pass,223000000.0,135961728.0,1.6401674447679864
array,test_sparse67,pass,pass,133000000.0,69625049.0,1.9102320488133517
array,test_sparse68,pass,pass,195000000.0,88937296.0,2.192555977865574
array,test_sparse69,pass,pass,2431818.2,7765234.3,0.31316739534826404
array,test_sparse70,pass,pass,218000000.0,124990425.0,1.7441336006338086
array,test_sparse71,pass,pass,168000000.0,122099527.0,1.375926706087895
array,test_sparse72,pass,pass,188000000.0,122094217.0,1.5397944687257383
array,test_sparse73,pass,pass,219000000.0,137516361.0,1.5925377781048176
array,test_sparse74,pass,pass,130000000.0,67795072.5,1.9175434910848426
array,test_sparse81,pass,pass,226215.6,14706.3,15.382223944839968
array,test_sparse83,pass,pass,234883.7,15198.1,15.454806850856357
array,test_zeros1,pass,pass,60233.9,2507.3,24.023411638016988
binary,test_bitand1,pass,pass,75284.1,1985.0,37.92649874055416
binary,test_bitor1,pass,pass,76704.5,2032.0,37.74827755905512
binary,test_bitxor1,pass,pass,75284.1,2021.4,37.24354407836153
constants,test_eps1,pass,pass,99065.4,2581.1,38.381077835031576
elementary,test_getfield1,pass,pass,153409.1,1940.0,79.0768556701031
elementary,test_getfield2,pass,pass,260000.0,3432.4,75.74874723225732
elementary,test_test1,pass,pass,69661.5,880.2,79.1428084526244
elementary,test_test2,pass,pass,69661.5,860.4,80.96408647140865
elementary,test_test3,pass,pass,78906.2,1620.4,48.69550728215255
elementary,test_test4,pass,pass,78906.2,1626.7,48.506915841888485
elementary,test_test5,pass,pass,2038461.5,883.1,2308.3020043030233
flow,test_continue1,pass,pass,20898.4,223.7,93.42154671434959
flow,test_error1,pass,pass,42918.5,711.5,60.321152494729446
flow,test_for1,pass,pass,96261.7,3564.1,27.008697847984063
flow,test_for2,pass,pass,123863.6,6185.5,20.024832269016247
flow,test_for3,pass,pass,97985.3,3402.1,28.80141677199377
flow,test_for4,pass,pass,106893.1,4078.5,26.20892484982224
flow,test_if1,pass,pass,22993.4,481.3,47.77353002285477
flow,test_if2,pass,pass,22780.5,500.6,45.50639232920495
flow,test_if3,pass,pass,24134.8,606.3,39.8066963549398
flow,test_if4,pass,pass,28385.4,789.9,35.93543486517281
flow,test_lasterr1,pass,pass,45667.9,1262.8,36.16400063351283
flow,test_switch1,pass,pass,25058.5,1012.8,24.741804897314378
flow,test_switch2,pass,pass,25058.5,970.2,25.828179756751183
